ticker,lot_size,price_point
AAPL,1,248.8
MSFT,1,356.77
NVDA,1,167.52
AMZN,1,199.34
GOOGL,1,274.34
META,1,525.72
BRK-B,1,468.49
TSLA,1,361.83
JPM,1,282.84
V,1,295.52
LLY,1,878.24
XOM,1,170.99
UNH,1,259.02
MA,1,484.24
COST,1,983.86
NFLX,1,93.43
WMT,1,122.89
JNJ,1,240.45
PG,1,142.71
ORCL,1,139.66
HD,1,321.65
BAC,1,46.97
ABBV,1,209.4
KO,1,75.71
CVX,1,211.15
AMD,1,201.99
CRM,1,179.31
MRK,1,119.63
ADBE,1,234.84
PEP,1,153.04
TMO,1,473.36
LIN,1,491.12
ACN,1,192.6
AVGO,1,300.68
MCD,1,305.9
CSCO,1,79.92
DHR,1,181.52
ABT,1,103.99
WFC,1,77.19
DIS,1,92.42
QCOM,1,127.11
TXN,1,190.33
PM,1,163.54
IBM,1,236.34
INTC,1,43.13
GE,1,282.81
CAT,1,695.4
GS,1,802.89
RTX,1,189.71
NOW,1,99.41
MS,1,158.39
BKNG,1,4062.14
BLK,1,933.85
AMGN,1,348.77
SPGI,1,406.24
ISRG,1,452.66
SCHW,1,92.36
MDT,1,87.14
GILD,1,134.25
BA,1,190.52
SYK,1,327.44
HON,1,223.12
TJX,1,155.12
ADP,1,201.25
AMT,1,169.52
DE,1,566.64
T,1,29.1
LOW,1,230.31
PGR,1,198.84
C,1,107.38
ETN,1,357.36
PLD,1,128.9
LMT,1,615.84
CB,1,319.09
UPS,1,94.8
MO,1,66.48
NEE,1,91.4
SBUX,1,86.81
ELV,1,286.39
MDLZ,1,58.27
CI,1,261.96
USB,1,50.85
BMY,1,58.54
SO,1,95.55
CME,1,293.78
DUK,1,129.99
ICE,1,152.67
CL,1,84.29
MMM,1,143.04
FIS,1,46.89
APD,1,292.19
ZTS,1,113.35
CVS,1,70.08
WM,1,225.06
TMUS,1,210.82
EQIX,1,963.0
PYPL,1,43.59
COP,1,133.8
UNP,1,238.79
